mean_planes,std_planes,mean_diversions,std_diversions,mean_landings,std_landings,mean_reposition,std_reposition
18.019,4.302691268514644,0.002,0.04469897088298564,17.622,4.259490492918051,2.773,2.368349653256478
17.845,4.284545755658624,0.0,0.0,17.504,4.222062269769338,2.712,2.4578643365932744
17.969,4.145023548813712,0.001,0.0316227766016838,17.611,4.094685023960383,2.656,2.2866772603261905
17.809,4.07886701868989,0.001,0.0316227766016838,17.451,4.026389301944214,2.719,2.381535368351835
18.069,4.196886090049723,0.001,0.0316227766016838,17.692,4.118992850455327,2.692,2.504277821530073
18.338,4.160657047518705,0.0,0.0,17.951,4.107245849528424,2.901,2.4607426225134263
17.954,4.112030251930643,0.0,0.0,17.615,4.103853873691974,2.685,2.4637055109823587
17.811,4.189609985646855,0.004,0.06315051850925682,17.413,4.150139112687026,2.681,2.4325205356083135
17.882,4.101328674575703,0.002,0.04469897088298564,17.514,4.036346875095858,2.636,2.4518392107794336
18.025,4.2488148262106495,0.001,0.03162277660168379,17.643,4.1929860639086485,2.789,2.463035839273466
18.0,4.264526490266673,0.002,0.0632455532033676,17.642,4.238372305472916,2.812,2.5883112941366533
18.044,4.311455978280731,0.001,0.0316227766016838,17.654,4.233935546298528,2.775,2.5049250786499884
17.818,4.166321427138602,0.0,0.0,17.482,4.130464469855266,2.713,2.4614405720410333
18.024,4.272432290590183,0.002,0.04469897088298564,17.634,4.245240401445608,2.84,2.529584708761262
18.037,4.188218257466076,0.002,0.04469897088298564,17.682,4.148021465962065,2.67,2.358529767177566
18.266,4.414604482026983,0.002,0.04469897088298564,17.913,4.370186441049114,2.839,2.617619325060642
17.941,4.214888407097427,0.002,0.04469897088298564,17.574,4.174440076219798,2.785,2.5010058036777982
18.146,4.122096029409756,0.003,0.054717401199198,17.75,4.061279846796326,2.844,2.4987812845281017
18.005,4.115569573329178,0.0,0.0,17.578,4.05861902479013,2.722,2.403433479939167
18.016,4.240958586184228,0.002,0.04469897088298564,17.588,4.151082688587098,2.796,2.4220343206177426
17.914,4.293371290377416,0.001,0.0316227766016838,17.532,4.252888790347458,2.78,2.60545358592096
